Date,Open,High,Low,Close,Adj Close,Volume
2022-06-01,24.600000,25.200001,24.000000,24.000000,22.232580,0
2022-07-01,23.400000,24.200001,23.000000,24.200001,22.417854,0
2022-08-01,24.000000,26.000000,23.200001,24.600000,22.788397,0
2022-09-01,23.799999,24.600000,21.400000,21.400000,19.824053,0
2022-10-01,21.000000,22.799999,21.000000,22.799999,21.489153,0
2022-11-01,22.400000,24.400000,22.400000,24.200001,22.808664,0
2022-12-01,24.600000,24.600000,22.200001,23.000000,21.677652,0
2023-01-01,22.400000,23.799999,22.400000,22.799999,21.489153,0
2023-02-01,22.600000,24.600000,22.600000,23.200001,21.866156,0
2023-03-01,23.200001,26.200001,23.200001,24.799999,23.374166,0
2023-04-01,25.000000,25.000000,23.400000,23.600000,22.678404,0
2023-05-01,23.600000,23.799999,21.400000,21.600000,20.756504,0
2023-06-01,21.600000,25.799999,21.600000,24.000000,23.062784,0
2023-07-01,24.400000,27.000000,23.799999,27.000000,25.945631,0
2023-08-01,26.799999,26.799999,24.600000,26.799999,25.753441,0
2023-09-01,26.400000,26.600000,24.400000,26.000000,24.984680,0
2023-10-01,26.000000,26.600000,24.400000,25.400000,24.838264,0
2023-11-01,25.200001,27.400000,22.000000,22.000000,21.513458,0
2023-12-01,21.799999,23.400000,21.799999,23.400000,22.882496,0
2024-01-01,23.400000,24.000000,21.600000,23.200001,22.686920,0
2024-02-01,23.400000,23.400000,21.200001,21.200001,20.731152,0
2024-03-01,21.400000,24.400000,21.400000,22.799999,22.295765,0
2024-04-01,22.799999,23.000000,21.600000,21.600000,21.600000,0
2024-04-19,21.600000,21.600000,21.600000,21.600000,21.600000,0
